0	0.0231147	0.0461382	0.0689797	0.0915489	0.113757	0.135516	0.15674	0.177345	0.197251	0.216378	0.234651	0.251999	0.268351	0.283645	0.297819	0.310818	0.32259	0.333089	0.342274	0.350107	0.356559	0.361604	0.365222	0.367398	0.368125	0.367398	0.365222	0.361604	0.356559	0.350107	0.342274	0.333089	0.32259	0.310818	0.297819	0.283645	0.268351	0.251999	0.234651	0.216378	0.197251	0.177345	0.15674	0.135516	0.113757	0.0915489	0.0689797	0.0461382	0.0231147	-4.58106e-16	-0.0231147	-0.0461382	-0.0689797	-0.0915489	-0.113757	-0.135516	-0.15674	-0.177345	-0.197251	-0.216378	-0.234651	-0.251999	-0.268351	-0.283645	-0.297819	-0.310818	-0.32259	-0.333089	-0.342274	-0.350107	-0.356559	-0.361604	-0.365222	-0.367398	-0.368125	-0.367398	-0.365222	-0.361604	-0.356559	-0.350107	-0.342274	-0.333089	-0.32259	-0.310818	-0.297819	-0.283645	-0.268351	-0.251999	-0.234651	-0.216378	-0.197251	-0.177345	-0.15674	-0.135516	-0.113757	-0.0915489	-0.0689797	-0.0461382	-0.0231147	0
0	0.0400242	0.0798904	0.119441	0.158521	0.196975	0.234651	0.271402	0.307081	0.341549	0.374668	0.406309	0.436347	0.464662	0.491144	0.515687	0.538195	0.558579	0.576758	0.592662	0.606226	0.617398	0.626133	0.632398	0.636166	0.637424	0.636166	0.632398	0.626133	0.617398	0.606226	0.592662	0.576758	0.558579	0.538195	0.515687	0.491144	0.464662	0.436347	0.406309	0.374668	0.341549	0.307081	0.271402	0.234651	0.196975	0.158521	0.119441	0.0798904	0.0400242	6.73757e-17	-0.0400242	-0.0798904	-0.119441	-0.158521	-0.196975	-0.234651	-0.271402	-0.307081	-0.341549	-0.374668	-0.406309	-0.436347	-0.464662	-0.491144	-0.515687	-0.538195	-0.558579	-0.576758	-0.592662	-0.606226	-0.617398	-0.626133	-0.632398	-0.636166	-0.637424	-0.636166	-0.632398	-0.626133	-0.617398	-0.606226	-0.592662	-0.576758	-0.558579	-0.538195	-0.515687	-0.491144	-0.464662	-0.436347	-0.406309	-0.374668	-0.341549	-0.307081	-0.271402	-0.234651	-0.196975	-0.158521	-0.119441	-0.0798904	-0.0400242	0
0	0.0530158	0.105822	0.158211	0.209976	0.260912	0.310818	0.359497	0.406758	0.452414	0.496284	0.538195	0.577982	0.615489	0.650566	0.683076	0.71289	0.73989	0.763971	0.785036	0.803004	0.817802	0.829373	0.83767	0.842662	0.844328	0.842662	0.83767	0.829373	0.817802	0.803004	0.785036	0.763971	0.73989	0.71289	0.683076	0.650566	0.615489	0.577982	0.538195	0.496284	0.452414	0.406758	0.359497	0.310818	0.260912	0.209976	0.158211	0.105822	0.0530158	-3.6818e-16	-0.0530158	-0.105822	-0.158211	-0.209976	-0.260912	-0.310818	-0.359497	-0.406758	-0.452414	-0.496284	-0.538195	-0.577982	-0.615489	-0.650566	-0.683076	-0.71289	-0.73989	-0.763971	-0.785036	-0.803004	-0.817802	-0.829373	-0.83767	-0.842662	-0.844328	-0.842662	-0.83767	-0.829373	-0.817802	-0.803004	-0.785036	-0.763971	-0.73989	-0.71289	-0.683076	-0.650566	-0.615489	-0.577982	-0.538195	-0.496284	-0.452414	-0.406758	-0.359497	-0.310818	-0.260912	-0.209976	-0.158211	-0.105822	-0.0530158	0
0	0.0608178	0.121396	0.181494	0.240877	0.299309	0.356559	0.412403	0.466618	0.518993	0.569319	0.617398	0.663041	0.706067	0.746306	0.7836	0.817802	0.848776	0.8764	0.900566	0.921177	0.938153	0.951427	0.960946	0.966672	0.968583	0.966672	0.960946	0.951427	0.938153	0.921177	0.900566	0.8764	0.848776	0.817802	0.7836	0.746306	0.706067	0.663041	0.617398	0.569319	0.518993	0.466618	0.412403	0.356559	0.299309	0.240877	0.181494	0.121396	0.0608178	-4.49852e-16	-0.0608178	-0.121396	-0.181494	-0.240877	-0.299309	-0.356559	-0.412403	-0.466618	-0.518993	-0.569319	-0.617398	-0.663041	-0.706067	-0.746306	-0.7836	-0.817802	-0.848776	-0.8764	-0.900566	-0.921177	-0.938153	-0.951427	-0.960946	-0.966672	-0.968583	-0.966672	-0.960946	-0.951427	-0.938153	-0.921177	-0.900566	-0.8764	-0.848776	-0.817802	-0.7836	-0.746306	-0.706067	-0.663041	-0.617398	-0.569319	-0.518993	-0.466618	-0.412403	-0.356559	-0.299309	-0.240877	-0.181494	-0.121396	-0.0608178	0
0	0.0626666	0.125086	0.187012	0.248199	0.308407	0.367398	0.424939	0.480803	0.534769	0.586625	0.636166	0.683196	0.72753	0.768993	0.807421	0.842662	0.874577	0.903042	0.927942	0.94918	0.966672	0.980349	0.990157	0.996057	0.998027	0.996057	0.990157	0.980349	0.966672	0.94918	0.927942	0.903042	0.874577	0.842662	0.807421	0.768993	0.72753	0.683196	0.636166	0.586625	0.534769	0.480803	0.424939	0.367398	0.308407	0.248199	0.187012	0.125086	0.0626666	-5.59279e-16	-0.0626666	-0.125086	-0.187012	-0.248199	-0.308407	-0.367398	-0.424939	-0.480803	-0.534769	-0.586625	-0.636166	-0.683196	-0.72753	-0.768993	-0.807421	-0.842662	-0.874577	-0.903042	-0.927942	-0.94918	-0.966672	-0.980349	-0.990157	-0.996057	-0.998027	-0.996057	-0.990157	-0.980349	-0.966672	-0.94918	-0.927942	-0.903042	-0.874577	-0.842662	-0.807421	-0.768993	-0.72753	-0.683196	-0.636166	-0.586625	-0.534769	-0.480803	-0.424939	-0.367398	-0.308407	-0.248199	-0.187012	-0.125086	-0.0626666	0
0	0.0583811	0.116532	0.174223	0.231226	0.287317	0.342274	0.39588	0.447923	0.498199	0.546509	0.592662	0.636476	0.677778	0.716405	0.752205	0.785036	0.814769	0.841287	0.864484	0.88427	0.900566	0.913308	0.922445	0.927942	0.929776	0.927942	0.922445	0.913308	0.900566	0.88427	0.864484	0.841287	0.814769	0.785036	0.752205	0.716405	0.677778	0.636476	0.592662	0.546509	0.498199	0.447923	0.39588	0.342274	0.287317	0.231226	0.174223	0.116532	0.0583811	-6.61768e-16	-0.0583811	-0.116532	-0.174223	-0.231226	-0.287317	-0.342274	-0.39588	-0.447923	-0.498199	-0.546509	-0.592662	-0.636476	-0.677778	-0.716405	-0.752205	-0.785036	-0.814769	-0.841287	-0.864484	-0.88427	-0.900566	-0.913308	-0.922445	-0.927942	-0.929776	-0.927942	-0.922445	-0.913308	-0.900566	-0.88427	-0.864484	-0.841287	-0.814769	-0.785036	-0.752205	-0.716405	-0.677778	-0.636476	-0.592662	-0.546509	-0.498199	-0.447923	-0.39588	-0.342274	-0.287317	-0.231226	-0.174223	-0.116532	-0.0583811	0
0	0.0483809	0.0965709	0.14438	0.191619	0.238102	0.283645	0.328069	0.371198	0.412862	0.452896	0.491144	0.527453	0.56168	0.593691	0.623358	0.650566	0.675206	0.697181	0.716405	0.732802	0.746306	0.756865	0.764438	0.768993	0.770513	0.768993	0.764438	0.756865	0.746306	0.732802	0.716405	0.697181	0.675206	0.650566	0.623358	0.593691	0.56168	0.527453	0.491144	0.452896	0.412862	0.371198	0.328069	0.283645	0.238102	0.191619	0.14438	0.0965709	0.0483809	-4.17312e-16	-0.0483809	-0.0965709	-0.14438	-0.191619	-0.238102	-0.283645	-0.328069	-0.371198	-0.412862	-0.452896	-0.491144	-0.527453	-0.56168	-0.593691	-0.623358	-0.650566	-0.675206	-0.697181	-0.716405	-0.732802	-0.746306	-0.756865	-0.764438	-0.768993	-0.770513	-0.768993	-0.764438	-0.756865	-0.746306	-0.732802	-0.716405	-0.697181	-0.675206	-0.650566	-0.623358	-0.593691	-0.56168	-0.527453	-0.491144	-0.452896	-0.412862	-0.371198	-0.328069	-0.283645	-0.238102	-0.191619	-0.14438	-0.0965709	-0.0483809	0
0	0.0336448	0.0671569	0.100404	0.133255	0.16558	0.197251	0.228144	0.258137	0.28711	0.314951	0.341549	0.366799	0.390601	0.412862	0.433493	0.452414	0.469549	0.484831	0.498199	0.509602	0.518993	0.526336	0.531602	0.534769	0.535827	0.534769	0.531602	0.526336	0.518993	0.509602	0.498199	0.484831	0.469549	0.452414	0.433493	0.412862	0.390601	0.366799	0.341549	0.314951	0.28711	0.258137	0.228144	0.197251	0.16558	0.133255	0.100404	0.0671569	0.0336448	3.26745e-16	-0.0336448	-0.0671569	-0.100404	-0.133255	-0.16558	-0.197251	-0.228144	-0.258137	-0.28711	-0.314951	-0.341549	-0.366799	-0.390601	-0.412862	-0.433493	-0.452414	-0.469549	-0.484831	-0.498199	-0.509602	-0.518993	-0.526336	-0.531602	-0.534769	-0.535827	-0.534769	-0.531602	-0.526336	-0.518993	-0.509602	-0.498199	-0.484831	-0.469549	-0.452414	-0.433493	-0.412862	-0.390601	-0.366799	-0.341549	-0.314951	-0.28711	-0.258137	-0.228144	-0.197251	-0.16558	-0.133255	-0.100404	-0.0671569	-0.0336448	0
0	0.0156154	0.0311691	0.0465998	0.0618467	0.0768494	0.0915489	0.105887	0.119807	0.133255	0.146176	0.158521	0.17024	0.181287	0.191619	0.201194	0.209976	0.217929	0.225021	0.231226	0.236518	0.240877	0.244285	0.246729	0.248199	0.24869	0.248199	0.246729	0.244285	0.240877	0.236518	0.231226	0.225021	0.217929	0.209976	0.201194	0.191619	0.181287	0.17024	0.158521	0.146176	0.133255	0.119807	0.105887	0.0915489	0.0768494	0.0618467	0.0465998	0.0311691	0.0156154	-9.44948e-16	-0.0156154	-0.0311691	-0.0465998	-0.0618467	-0.0768494	-0.0915489	-0.105887	-0.119807	-0.133255	-0.146176	-0.158521	-0.17024	-0.181287	-0.191619	-0.201194	-0.209976	-0.217929	-0.225021	-0.231226	-0.236518	-0.240877	-0.244285	-0.246729	-0.248199	-0.24869	-0.248199	-0.246729	-0.244285	-0.240877	-0.236518	-0.231226	-0.225021	-0.217929	-0.209976	-0.201194	-0.191619	-0.181287	-0.17024	-0.158521	-0.146176	-0.133255	-0.119807	-0.105887	-0.0915489	-0.0768494	-0.0618467	-0.0465998	-0.0311691	-0.0156154	0
0	-0.00394265	-0.00786974	-0.0117658	-0.0156154	-0.0194033	-0.0231147	-0.0267349	-0.0302496	-0.0336448	-0.0369073	-0.0400242	-0.0429831	-0.0457723	-0.0483809	-0.0507986	-0.0530158	-0.0550238	-0.0568146	-0.0583811	-0.0597173	-0.0608178	-0.0616783	-0.0622954	-0.0626666	-0.0627905	-0.0626666	-0.0622954	-0.0616783	-0.0608178	-0.0597173	-0.0583811	-0.0568146	-0.0550238	-0.0530158	-0.0507986	-0.0483809	-0.0457723	-0.0429831	-0.0400242	-0.0369073	-0.0336448	-0.0302496	-0.0267349	-0.0231147	-0.0194033	-0.0156154	-0.0117658	-0.00786974	-0.00394265	8.06646e-16	0.00394265	0.00786974	0.0117658	0.0156154	0.0194033	0.0231147	0.0267349	0.0302496	0.0336448	0.0369073	0.0400242	0.0429831	0.0457723	0.0483809	0.0507986	0.0530158	0.0550238	0.0568146	0.0583811	0.0597173	0.0608178	0.0616783	0.0622954	0.0626666	0.0627905	0.0626666	0.0622954	0.0616783	0.0608178	0.0597173	0.0583811	0.0568146	0.0550238	0.0530158	0.0507986	0.0483809	0.0457723	0.0429831	0.0400242	0.0369073	0.0336448	0.0302496	0.0267349	0.0231147	0.0194033	0.0156154	0.0117658	0.00786974	0.00394265	0
0	-0.0231147	-0.0461382	-0.0689797	-0.0915489	-0.113757	-0.135516	-0.15674	-0.177345	-0.197251	-0.216378	-0.234651	-0.251999	-0.268351	-0.283645	-0.297819	-0.310818	-0.32259	-0.333089	-0.342274	-0.350107	-0.356559	-0.361604	-0.365222	-0.367398	-0.368125	-0.367398	-0.365222	-0.361604	-0.356559	-0.350107	-0.342274	-0.333089	-0.32259	-0.310818	-0.297819	-0.283645	-0.268351	-0.251999	-0.234651	-0.216378	-0.197251	-0.177345	-0.15674	-0.135516	-0.113757	-0.0915489	-0.0689797	-0.0461382	-0.0231147	-1.50236e-15	0.0231147	0.0461382	0.0689797	0.0915489	0.113757	0.135516	0.15674	0.177345	0.197251	0.216378	0.234651	0.251999	0.268351	0.283645	0.297819	0.310818	0.32259	0.333089	0.342274	0.350107	0.356559	0.361604	0.365222	0.367398	0.368125	0.367398	0.365222	0.361604	0.356559	0.350107	0.342274	0.333089	0.32259	0.310818	0.297819	0.283645	0.268351	0.251999	0.234651	0.216378	0.197251	0.177345	0.15674	0.135516	0.113757	0.0915489	0.0689797	0.0461382	0.0231147	0
0	-0.0400242	-0.0798904	-0.119441	-0.158521	-0.196975	-0.234651	-0.271402	-0.307081	-0.341549	-0.374668	-0.406309	-0.436347	-0.464662	-0.491144	-0.515687	-0.538195	-0.558579	-0.576758	-0.592662	-0.606226	-0.617398	-0.626133	-0.632398	-0.636166	-0.637424	-0.636166	-0.632398	-0.626133	-0.617398	-0.606226	-0.592662	-0.576758	-0.558579	-0.538195	-0.515687	-0.491144	-0.464662	-0.436347	-0.406309	-0.374668	-0.341549	-0.307081	-0.271402	-0.234651	-0.196975	-0.158521	-0.119441	-0.0798904	-0.0400242	1.35984e-15	0.0400242	0.0798904	0.119441	0.158521	0.196975	0.234651	0.271402	0.307081	0.341549	0.374668	0.406309	0.436347	0.464662	0.491144	0.515687	0.538195	0.558579	0.576758	0.592662	0.606226	0.617398	0.626133	0.632398	0.636166	0.637424	0.636166	0.632398	0.626133	0.617398	0.606226	0.592662	0.576758	0.558579	0.538195	0.515687	0.491144	0.464662	0.436347	0.406309	0.374668	0.341549	0.307081	0.271402	0.234651	0.196975	0.158521	0.119441	0.0798904	0.0400242	0
0	-0.0530158	-0.105822	-0.158211	-0.209976	-0.260912	-0.310818	-0.359497	-0.406758	-0.452414	-0.496284	-0.538195	-0.577982	-0.615489	-0.650566	-0.683076	-0.71289	-0.73989	-0.763971	-0.785036	-0.803004	-0.817802	-0.829373	-0.83767	-0.842662	-0.844328	-0.842662	-0.83767	-0.829373	-0.817802	-0.803004	-0.785036	-0.763971	-0.73989	-0.71289	-0.683076	-0.650566	-0.615489	-0.577982	-0.538195	-0.496284	-0.452414	-0.406758	-0.359497	-0.310818	-0.260912	-0.209976	-0.158211	-0.105822	-0.0530158	-1.72805e-15	0.0530158	0.105822	0.158211	0.209976	0.260912	0.310818	0.359497	0.406758	0.452414	0.496284	0.538195	0.577982	0.615489	0.650566	0.683076	0.71289	0.73989	0.763971	0.785036	0.803004	0.817802	0.829373	0.83767	0.842662	0.844328	0.842662	0.83767	0.829373	0.817802	0.803004	0.785036	0.763971	0.73989	0.71289	0.683076	0.650566	0.615489	0.577982	0.538195	0.496284	0.452414	0.406758	0.359497	0.310818	0.260912	0.209976	0.158211	0.105822	0.0530158	0
0	-0.0608178	-0.121396	-0.181494	-0.240877	-0.299309	-0.356559	-0.412403	-0.466618	-0.518993	-0.569319	-0.617398	-0.663041	-0.706067	-0.746306	-0.7836	-0.817802	-0.848776	-0.8764	-0.900566	-0.921177	-0.938153	-0.951427	-0.960946	-0.966672	-0.968583	-0.966672	-0.960946	-0.951427	-0.938153	-0.921177	-0.900566	-0.8764	-0.848776	-0.817802	-0.7836	-0.746306	-0.706067	-0.663041	-0.617398	-0.569319	-0.518993	-0.466618	-0.412403	-0.356559	-0.299309	-0.240877	-0.181494	-0.121396	-0.0608178	1.49844e-15	0.0608178	0.121396	0.181494	0.240877	0.299309	0.356559	0.412403	0.466618	0.518993	0.569319	0.617398	0.663041	0.706067	0.746306	0.7836	0.817802	0.848776	0.8764	0.900566	0.921177	0.938153	0.951427	0.960946	0.966672	0.968583	0.966672	0.960946	0.951427	0.938153	0.921177	0.900566	0.8764	0.848776	0.817802	0.7836	0.746306	0.706067	0.663041	0.617398	0.569319	0.518993	0.466618	0.412403	0.356559	0.299309	0.240877	0.181494	0.121396	0.0608178	0
0	-0.0626666	-0.125086	-0.187012	-0.248199	-0.308407	-0.367398	-0.424939	-0.480803	-0.534769	-0.586625	-0.636166	-0.683196	-0.72753	-0.768993	-0.807421	-0.842662	-0.874577	-0.903042	-0.927942	-0.94918	-0.966672	-0.980349	-0.990157	-0.996057	-0.998027	-0.996057	-0.990157	-0.980349	-0.966672	-0.94918	-0.927942	-0.903042	-0.874577	-0.842662	-0.807421	-0.768993	-0.72753	-0.683196	-0.636166	-0.586625	-0.534769	-0.480803	-0.424939	-0.367398	-0.308407	-0.248199	-0.187012	-0.125086	-0.0626666	-1.23557e-15	0.0626666	0.125086	0.187012	0.248199	0.308407	0.367398	0.424939	0.480803	0.534769	0.586625	0.636166	0.683196	0.72753	0.768993	0.807421	0.842662	0.874577	0.903042	0.927942	0.94918	0.966672	0.980349	0.990157	0.996057	0.998027	0.996057	0.990157	0.980349	0.966672	0.94918	0.927942	0.903042	0.874577	0.842662	0.807421	0.768993	0.72753	0.683196	0.636166	0.586625	0.534769	0.480803	0.424939	0.367398	0.308407	0.248199	0.187012	0.125086	0.0626666	0
0	-0.0583811	-0.116532	-0.174223	-0.231226	-0.287317	-0.342274	-0.39588	-0.447923	-0.498199	-0.546509	-0.592662	-0.636476	-0.677778	-0.716405	-0.752205	-0.785036	-0.814769	-0.841287	-0.864484	-0.88427	-0.900566	-0.913308	-0.922445	-0.927942	-0.929776	-0.927942	-0.922445	-0.913308	-0.900566	-0.88427	-0.864484	-0.841287	-0.814769	-0.785036	-0.752205	-0.716405	-0.677778	-0.636476	-0.592662	-0.546509	-0.498199	-0.447923	-0.39588	-0.342274	-0.287317	-0.231226	-0.174223	-0.116532	-0.0583811	9.7091e-16	0.0583811	0.116532	0.174223	0.231226	0.287317	0.342274	0.39588	0.447923	0.498199	0.546509	0.592662	0.636476	0.677778	0.716405	0.752205	0.785036	0.814769	0.841287	0.864484	0.88427	0.900566	0.913308	0.922445	0.927942	0.929776	0.927942	0.922445	0.913308	0.900566	0.88427	0.864484	0.841287	0.814769	0.785036	0.752205	0.716405	0.677778	0.636476	0.592662	0.546509	0.498199	0.447923	0.39588	0.342274	0.287317	0.231226	0.174223	0.116532	0.0583811	0
0	-0.0483809	-0.0965709	-0.14438	-0.191619	-0.238102	-0.283645	-0.328069	-0.371198	-0.412862	-0.452896	-0.491144	-0.527453	-0.56168	-0.593691	-0.623358	-0.650566	-0.675206	-0.697181	-0.716405	-0.732802	-0.746306	-0.756865	-0.764438	-0.768993	-0.770513	-0.768993	-0.764438	-0.756865	-0.746306	-0.732802	-0.716405	-0.697181	-0.675206	-0.650566	-0.623358	-0.593691	-0.56168	-0.527453	-0.491144	-0.452896	-0.412862	-0.371198	-0.328069	-0.283645	-0.238102	-0.191619	-0.14438	-0.0965709	-0.0483809	-1.12473e-15	0.0483809	0.0965709	0.14438	0.191619	0.238102	0.283645	0.328069	0.371198	0.412862	0.452896	0.491144	0.527453	0.56168	0.593691	0.623358	0.650566	0.675206	0.697181	0.716405	0.732802	0.746306	0.756865	0.764438	0.768993	0.770513	0.768993	0.764438	0.756865	0.746306	0.732802	0.716405	0.697181	0.675206	0.650566	0.623358	0.593691	0.56168	0.527453	0.491144	0.452896	0.412862	0.371198	0.328069	0.283645	0.238102	0.191619	0.14438	0.0965709	0.0483809	0
0	-0.0336448	-0.0671569	-0.100404	-0.133255	-0.16558	-0.197251	-0.228144	-0.258137	-0.28711	-0.314951	-0.341549	-0.366799	-0.390601	-0.412862	-0.433493	-0.452414	-0.469549	-0.484831	-0.498199	-0.509602	-0.518993	-0.526336	-0.531602	-0.534769	-0.535827	-0.534769	-0.531602	-0.526336	-0.518993	-0.509602	-0.498199	-0.484831	-0.469549	-0.452414	-0.433493	-0.412862	-0.390601	-0.366799	-0.341549	-0.314951	-0.28711	-0.258137	-0.228144	-0.197251	-0.16558	-0.133255	-0.100404	-0.0671569	-0.0336448	-5.2807e-16	0.0336448	0.0671569	0.100404	0.133255	0.16558	0.197251	0.228144	0.258137	0.28711	0.314951	0.341549	0.366799	0.390601	0.412862	0.433493	0.452414	0.469549	0.484831	0.498199	0.509602	0.518993	0.526336	0.531602	0.534769	0.535827	0.534769	0.531602	0.526336	0.518993	0.509602	0.498199	0.484831	0.469549	0.452414	0.433493	0.412862	0.390601	0.366799	0.341549	0.314951	0.28711	0.258137	0.228144	0.197251	0.16558	0.133255	0.100404	0.0671569	0.0336448	0
0	-0.0156154	-0.0311691	-0.0465998	-0.0618467	-0.0768494	-0.0915489	-0.105887	-0.119807	-0.133255	-0.146176	-0.158521	-0.17024	-0.181287	-0.191619	-0.201194	-0.209976	-0.217929	-0.225021	-0.231226	-0.236518	-0.240877	-0.244285	-0.246729	-0.248199	-0.24869	-0.248199	-0.246729	-0.244285	-0.240877	-0.236518	-0.231226	-0.225021	-0.217929	-0.209976	-0.201194	-0.191619	-0.181287	-0.17024	-0.158521	-0.146176	-0.133255	-0.119807	-0.105887	-0.0915489	-0.0768494	-0.0618467	-0.0465998	-0.0311691	-0.0156154	-8.02784e-19	0.0156154	0.0311691	0.0465998	0.0618467	0.0768494	0.0915489	0.105887	0.119807	0.133255	0.146176	0.158521	0.17024	0.181287	0.191619	0.201194	0.209976	0.217929	0.225021	0.231226	0.236518	0.240877	0.244285	0.246729	0.248199	0.24869	0.248199	0.246729	0.244285	0.240877	0.236518	0.231226	0.225021	0.217929	0.209976	0.201194	0.191619	0.181287	0.17024	0.158521	0.146176	0.133255	0.119807	0.105887	0.0915489	0.0768494	0.0618467	0.0465998	0.0311691	0.0156154	0
0	0.00394265	0.00786974	0.0117658	0.0156154	0.0194033	0.0231147	0.0267349	0.0302496	0.0336448	0.0369073	0.0400242	0.0429831	0.0457723	0.0483809	0.0507986	0.0530158	0.0550238	0.0568146	0.0583811	0.0597173	0.0608178	0.0616783	0.0622954	0.0626666	0.0627905	0.0626666	0.0622954	0.0616783	0.0608178	0.0597173	0.0583811	0.0568146	0.0550238	0.0530158	0.0507986	0.0483809	0.0457723	0.0429831	0.0400242	0.0369073	0.0336448	0.0302496	0.0267349	0.0231147	0.0194033	0.0156154	0.0117658	0.00786974	0.00394265	-7.19911e-16	-0.00394265	-0.00786974	-0.0117658	-0.0156154	-0.0194033	-0.0231147	-0.0267349	-0.0302496	-0.0336448	-0.0369073	-0.0400242	-0.0429831	-0.0457723	-0.0483809	-0.0507986	-0.0530158	-0.0550238	-0.0568146	-0.0583811	-0.0597173	-0.0608178	-0.0616783	-0.0622954	-0.0626666	-0.0627905	-0.0626666	-0.0622954	-0.0616783	-0.0608178	-0.0597173	-0.0583811	-0.0568146	-0.0550238	-0.0530158	-0.0507986	-0.0483809	-0.0457723	-0.0429831	-0.0400242	-0.0369073	-0.0336448	-0.0302496	-0.0267349	-0.0231147	-0.0194033	-0.0156154	-0.0117658	-0.00786974	-0.00394265	0
0	0.0231147	0.0461382	0.0689797	0.0915489	0.113757	0.135516	0.15674	0.177345	0.197251	0.216378	0.234651	0.251999	0.268351	0.283645	0.297819	0.310818	0.32259	0.333089	0.342274	0.350107	0.356559	0.361604	0.365222	0.367398	0.368125	0.367398	0.365222	0.361604	0.356559	0.350107	0.342274	0.333089	0.32259	0.310818	0.297819	0.283645	0.268351	0.251999	0.234651	0.216378	0.197251	0.177345	0.15674	0.135516	0.113757	0.0915489	0.0689797	0.0461382	0.0231147	5.5514e-16	-0.0231147	-0.0461382	-0.0689797	-0.0915489	-0.113757	-0.135516	-0.15674	-0.177345	-0.197251	-0.216378	-0.234651	-0.251999	-0.268351	-0.283645	-0.297819	-0.310818	-0.32259	-0.333089	-0.342274	-0.350107	-0.356559	-0.361604	-0.365222	-0.367398	-0.368125	-0.367398	-0.365222	-0.361604	-0.356559	-0.350107	-0.342274	-0.333089	-0.32259	-0.310818	-0.297819	-0.283645	-0.268351	-0.251999	-0.234651	-0.216378	-0.197251	-0.177345	-0.15674	-0.135516	-0.113757	-0.0915489	-0.0689797	-0.0461382	-0.0231147	0
0	0.0400242	0.0798904	0.119441	0.158521	0.196975	0.234651	0.271402	0.307081	0.341549	0.374668	0.406309	0.436347	0.464662	0.491144	0.515687	0.538195	0.558579	0.576758	0.592662	0.606226	0.617398	0.626133	0.632398	0.636166	0.637424	0.636166	0.632398	0.626133	0.617398	0.606226	0.592662	0.576758	0.558579	0.538195	0.515687	0.491144	0.464662	0.436347	0.406309	0.374668	0.341549	0.307081	0.271402	0.234651	0.196975	0.158521	0.119441	0.0798904	0.0400242	-1.52598e-16	-0.0400242	-0.0798904	-0.119441	-0.158521	-0.196975	-0.234651	-0.271402	-0.307081	-0.341549	-0.374668	-0.406309	-0.436347	-0.464662	-0.491144	-0.515687	-0.538195	-0.558579	-0.576758	-0.592662	-0.606226	-0.617398	-0.626133	-0.632398	-0.636166	-0.637424	-0.636166	-0.632398	-0.626133	-0.617398	-0.606226	-0.592662	-0.576758	-0.558579	-0.538195	-0.515687	-0.491144	-0.464662	-0.436347	-0.406309	-0.374668	-0.341549	-0.307081	-0.271402	-0.234651	-0.196975	-0.158521	-0.119441	-0.0798904	-0.0400242	0
0	0.0530158	0.105822	0.158211	0.209976	0.260912	0.310818	0.359497	0.406758	0.452414	0.496284	0.538195	0.577982	0.615489	0.650566	0.683076	0.71289	0.73989	0.763971	0.785036	0.803004	0.817802	0.829373	0.83767	0.842662	0.844328	0.842662	0.83767	0.829373	0.817802	0.803004	0.785036	0.763971	0.73989	0.71289	0.683076	0.650566	0.615489	0.577982	0.538195	0.496284	0.452414	0.406758	0.359497	0.310818	0.260912	0.209976	0.158211	0.105822	0.0530158	5.55198e-16	-0.0530158	-0.105822	-0.158211	-0.209976	-0.260912	-0.310818	-0.359497	-0.406758	-0.452414	-0.496284	-0.538195	-0.577982	-0.615489	-0.650566	-0.683076	-0.71289	-0.73989	-0.763971	-0.785036	-0.803004	-0.817802	-0.829373	-0.83767	-0.842662	-0.844328	-0.842662	-0.83767	-0.829373	-0.817802	-0.803004	-0.785036	-0.763971	-0.73989	-0.71289	-0.683076	-0.650566	-0.615489	-0.577982	-0.538195	-0.496284	-0.452414	-0.406758	-0.359497	-0.310818	-0.260912	-0.209976	-0.158211	-0.105822	-0.0530158	0
0	0.0608178	0.121396	0.181494	0.240877	0.299309	0.356559	0.412403	0.466618	0.518993	0.569319	0.617398	0.663041	0.706067	0.746306	0.7836	0.817802	0.848776	0.8764	0.900566	0.921177	0.938153	0.951427	0.960946	0.966672	0.968583	0.966672	0.960946	0.951427	0.938153	0.921177	0.900566	0.8764	0.848776	0.817802	0.7836	0.746306	0.706067	0.663041	0.617398	0.569319	0.518993	0.466618	0.412403	0.356559	0.299309	0.240877	0.181494	0.121396	0.0608178	9.03218e-17	-0.0608178	-0.121396	-0.181494	-0.240877	-0.299309	-0.356559	-0.412403	-0.466618	-0.518993	-0.569319	-0.617398	-0.663041	-0.706067	-0.746306	-0.7836	-0.817802	-0.848776	-0.8764	-0.900566	-0.921177	-0.938153	-0.951427	-0.960946	-0.966672	-0.968583	-0.966672	-0.960946	-0.951427	-0.938153	-0.921177	-0.900566	-0.8764	-0.848776	-0.817802	-0.7836	-0.746306	-0.706067	-0.663041	-0.617398	-0.569319	-0.518993	-0.466618	-0.412403	-0.356559	-0.299309	-0.240877	-0.181494	-0.121396	-0.0608178	0
